Temp1,Hum1,Temp2,Temp1,Hum1,Temp2,Hum2,Difference
24.65,31.63,41.28,24.65,31.63,41.28,13.49,18.14
24.65,31.65,41.26,24.65,31.65,41.26,13.48,18.17
24.66,31.65,41.24,24.66,31.65,41.24,13.45,18.2
24.66,31.66,41.25,24.66,31.66,41.25,13.46,18.2
24.66,31.64,41.26,24.66,31.64,41.26,13.44,18.2
24.67,31.57,41.28,24.67,31.57,41.28,13.4,18.17
24.67,31.48,41.29,24.67,31.48,41.29,13.38,18.1
24.68,31.38,41.3,24.68,31.38,41.3,13.37,18.01
24.68,31.25,41.29,24.68,31.25,41.29,13.37,17.88
24.69,31.12,41.27,24.69,31.12,41.27,13.36,17.76
24.69,31.02,41.25,24.69,31.02,41.25,13.36,17.66
24.7,30.96,41.22,24.7,30.96,41.22,13.37,17.59
24.7,30.92,41.2,24.7,30.92,41.2,13.39,17.53
24.71,30.89,41.2,24.71,30.89,41.2,13.42,17.47
24.71,30.88,41.21,24.71,30.88,41.21,13.43,17.45
24.71,30.86,41.22,24.71,30.86,41.22,13.43,17.43
24.72,30.85,41.23,24.72,30.85,41.23,13.42,17.43
24.72,30.82,41.23,24.72,30.82,41.23,13.41,17.41
24.72,30.79,41.22,24.72,30.79,41.22,13.4,17.39
24.73,30.74,41.2,24.73,30.74,41.2,13.44,17.3
24.73,30.71,41.17,24.73,30.71,41.17,13.49,17.22
24.73,30.67,41.15,24.73,30.67,41.15,13.56,17.11
24.73,30.68,41.14,24.73,30.68,41.14,13.62,17.06
24.74,30.67,41.15,24.74,30.67,41.15,13.64,17.03
24.74,30.7,41.16,24.74,30.7,41.16,13.63,17.07
24.74,30.71,41.18,24.74,30.71,41.18,13.59,17.12
24.74,30.67,41.19,24.74,30.67,41.19,13.54,17.13
24.75,30.64,41.19,24.75,30.64,41.19,13.52,17.12
24.75,30.61,41.19,24.75,30.61,41.19,13.52,17.09
24.75,30.58,41.17,24.75,30.58,41.17,13.53,17.05
24.76,30.58,41.15,24.76,30.58,41.15,13.54,17.04
24.76,30.6,41.13,24.76,30.6,41.13,13.56,17.04
24.76,30.58,41.12,24.76,30.58,41.12,13.6,16.98
24.77,30.58,41.14,24.77,30.58,41.14,13.64,16.94
24.77,30.57,41.16,24.77,30.57,41.16,13.69,16.88
24.77,30.58,41.18,24.77,30.58,41.18,13.71,16.87
24.77,30.61,41.19,24.77,30.61,41.19,13.69,16.92
24.77,30.65,41.2,24.77,30.65,41.2,13.68,16.97
24.77,30.7,41.2,24.77,30.7,41.2,13.65,17.05
24.78,30.76,41.18,24.78,30.76,41.18,13.62,17.14
24.78,30.81,41.16,24.78,30.81,41.16,13.62,17.19
24.78,30.83,41.15,24.78,30.83,41.15,13.6,17.23
24.78,30.9,41.15,24.78,30.9,41.15,13.6,17.3
24.78,30.92,41.17,24.78,30.92,41.17,13.61,17.31
24.78,30.97,41.2,24.78,30.97,41.2,13.6,17.37
24.78,31.02,41.22,24.78,31.02,41.22,13.58,17.44
24.78,31.03,41.23,24.78,31.03,41.23,13.54,17.49
24.78,31.06,41.24,24.78,31.06,41.24,13.49,17.57
24.78,31.05,41.23,24.78,31.05,41.23,13.45,17.6
